Date, Price 
26-Jun-96,6147.55
27-Jun-96,6137.51
28-Jun-96,6091.15
30-Jun-96,6091.15
1-Jul-96,6077.29
2-Jul-96,6116.48
3-Jul-96,6117.91
4-Jul-96,6125.56
5-Jul-96,6091.15
8-Jul-96,6050.52
9-Jul-96,6094.97
10-Jul-96,6117.44
11-Jul-96,6059.13
12-Jul-96,5957.80
15-Jul-96,5967.36
16-Jul-96,5781.43
17-Jul-96,5859.82
18-Jul-96,5889.45
19-Jul-96,5980.26
22-Jul-96,5932.94
23-Jul-96,5945.85
24-Jul-96,5812.02
25-Jul-96,5852.65
26-Jul-96,5830.18
29-Jul-96,5838.31
30-Jul-96,5815.84
31-Jul-96,5776.65
1-Aug-96,5775.69
2-Aug-96,5864.12
5-Aug-96,5943.46
6-Aug-96,5926.73
7-Aug-96,5886.58
8-Aug-96,5834.96
12-Aug-96,5852.65
13-Aug-96,5884.67
14-Aug-96,5812.50
15-Aug-96,5761.36
16-Aug-96,5732.20
19-Aug-96,5721.21
20-Aug-96,5643.78
21-Aug-96,5606.97
22-Aug-96,5671.98
23-Aug-96,5772.35
26-Aug-96,5764.70
27-Aug-96,5838.31
28-Aug-96,5920.04
29-Aug-96,5950.15
30-Aug-96,5942.02
31-Aug-96,5942.02
2-Sep-96,6008.94
3-Sep-96,5967.36
4-Sep-96,6060.08
5-Sep-96,6084.94
6-Sep-96,6076.81
9-Sep-96,6126.04
10-Sep-96,6072.51
11-Sep-96,6043.83
12-Sep-96,6077.29
13-Sep-96,6141.81
16-Sep-96,6202.04
17-Sep-96,6212.07
18-Sep-96,6158.54
19-Sep-96,6183.87
20-Sep-96,6188.65
23-Sep-96,6165.23
25-Sep-96,6219.72
26-Sep-96,6174.79
27-Sep-96,6172.88
30-Sep-96,6110.27
1-Oct-96,6122.69
2-Oct-96,6225.93
3-Oct-96,6241.23
4-Oct-96,6246.96
7-Oct-96,6256.05
8-Oct-96,6255.57
9-Oct-96,6261.30
10-Oct-96,6220.68
11-Oct-96,6245.53
14-Oct-96,6261.30
15-Oct-96,6265.61
16-Oct-96,6202.51
17-Oct-96,6192.00
18-Oct-96,6181.48
21-Oct-96,6184.35
22-Oct-96,6198.21
23-Oct-96,6195.34
24-Oct-96,6172.88
25-Oct-96,6140.86
28-Oct-96,6108.83
29-Oct-96,6015.15
30-Oct-96,6054.82
31-Oct-96,6149.46
1-Nov-96,6147.55
4-Nov-96,6121.26
